X,Y,OBJECTID,СТАТУ,ID,ОБЛАС,РАЙОН,Н__ПУН,АДРЕС,КАДАС,ЗАМОВ,КОНТА,Y,X,ПОСИЛ,X_1,Y_1,icon_url
27.6325391600001,50.4164478920001,"39",ГОТОВИЙ,"4611",Житомирська,Баранівський,с.Рогачів,С060202 Суємці – Рогачів км 0+000 – км 11+335,Х,"ДОРОГИ І МОСТИ, ТОВ",Ігор Замана,"50,416447891724935","27,632539159833",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4611_Рогачів-Суємці,27.63253915980,50.41644789170,./0.png
27.5927461270001,50.3193205580001,"40",ГОТОВИЙ,"4612",Житомирська,Брусилівський,с.Йосипівка,С060208 (Дубрівка - Баранівка) – Йосипівка км 0+000 – км 0+529,Х,ТОВ Дороги і мости,Ігор Замана,"50,31932055836616","27,592746126771655",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4612_Йосипівка,27.59274612680,50.31932055840,./0.png
27.4827116390001,50.283898863,"41",ГОТОВИЙ,"4613",Житомирська,Баранівський,м.Баранівка,С060235 Баранівка – Деревищина через Кашперівку км 77+000 – км 138+000,Х,"ДОРОГИ І МОСТИ, ТОВ",Ігор Замана,"50,28389886265724","27,482711639391336",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4613_Кашперівка,27.48271163940,50.28389886270,./0.png
27.8711885870001,49.9502703800001,"42",ГОТОВИЙ,"4614",Житомирська,Білоцерківський,с.Кременець,С061031 ((М-06) – Кременець – Біла Церква) – Софіївка – Панасівка – Филинці – (Шепетівка – Бердичів) км 5+200 – км 8+800,Х,"ДОРОГИ І МОСТИ, ТОВ",Ігор Замана,"49,95027038018017","27,871188586616505",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4614_Панасівка-Филинці,27.87118858660,49.95027038020,./0.png
27.9228824340001,49.9444845670001,"43",ГОТОВИЙ,"4615",Житомирська,Житомирський,с.Михайлівка,С061009 Михайлівка – Филинці км 0+000 – км 8+780,Х,"ДОРОГИ І МОСТИ, ТОВ",Ігор Замана,"49,94448456731528","27,922882434398613",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4615_Михайлівка-Филинці,27.92288243440,49.94448456730,./0.png
5488585.944,5252195.308,"44",ГОТОВИЙ,"4616",Полтавська,Кобелякський,м.Кобеляки,"М-03 Київ-Харків-Довжанський Контракт 1, Лот 3.3. Естакада км 363 опора 7",Х,ТОВ Сінк плюс міжнародна інжинірінгова і консалтінгова компанія,Яковенко Микола Петрович,"5252195,308","5488585,944",I:\04 Геологічний\ІВ\ОБМІН\2019\12 ГРУДЕНЬ\4616_Звіт_Полтава_ км363 и 417км,5488585.94400000013,5252195.30800000019,./0.png
30.6255309840001,50.0775464340001,"45",ГОТОВИЙ,"4622",Київська,Обухівський,м.Обухів,Х,3223110100:06:002:0092,Геотоп,Х,"50,07754643371319","30,625530984302223","0",30.62553098430,50.07754643370,./0.png
30.6109490000001,51.098824,"46",ГОТОВИЙ,"4629",Чернігівська,Козелецький,с.Косачівка,"51.098824, 30.610949",Х,геотоп,Денис Лєбєдєв,"51,098824","30,610949","0",30.61094900000,51.09882400000,./0.png
30.5452626270001,50.4424920660001,"47",ГОТОВИЙ,"4641",Київська,Печерський,м.Київ,"вул.Московська, 3",Х,Архіпенко,Х,"50,442492066072","30,545262627222453","0",30.54526262720,50.44249206610,./0.png
30.4750275980001,50.3930666160001,"48",ГОТОВИЙ,"4651",Київська,Голосіївський,м.Київ,вул. Трутенка 24 (7 будинків рамковий договір),Х,ТОВ РОЯЛ ХАУЗ ГРУП,Тельпіс Дмитро,"50,393066615858395","30,475027598385296","I:\04 Геологічний\ІВ\ОБМІН\2020\03 БЕРЕЗЕНЬ\4651_Трутенка, 24",30.47502759840,50.39306661590,./0.png
